,i/cout,\lam/\lam_max,stage
300,0.7666666666666667,0.3342287242412567,5
301,0.775,0.3329847455024719,5
302,0.7833333333333333,0.3289782404899597,5
303,0.7916666666666666,0.32752445340156555,5
304,0.8,0.32651084661483765,5
305,0.8083333333333333,0.3226848840713501,5
306,0.8166666666666667,0.3187822997570038,5
307,0.825,0.31701818108558655,5
308,0.8333333333333334,0.31303197145462036,5
309,0.8416666666666667,0.31223753094673157,5
310,0.85,0.3099935054779053,5
311,0.8583333333333333,0.3055962920188904,5
312,0.8666666666666667,0.3028426468372345,5
313,0.875,0.299882173538208,5
314,0.8833333333333333,0.2982920706272125,5
315,0.8916666666666667,0.29107654094696045,5
316,0.9,0.28715047240257263,5
317,0.9083333333333333,0.2854224443435669,5
318,0.9166666666666666,0.2818249464035034,5
319,0.925,0.2769731879234314,5
320,0.9333333333333333,0.27525272965431213,5
321,0.9416666666666667,0.2732372283935547,5
322,0.95,0.26898735761642456,5
323,0.9583333333333334,0.26769521832466125,5
324,0.9666666666666667,0.2656492590904236,5
325,0.975,0.26153314113616943,5
326,0.9833333333333333,0.25716567039489746,5
327,0.9916666666666667,0.24668151140213013,5
